sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,67,細懸浮微粒,普通,0.7,0.21,26,23,2,7,8,8.5,0.4,0.9,127,"2025-02-01 01:00",,0.3,18,22,1,120.97236752,24.8056356,24
新竹,新竹市,56,細懸浮微粒,普通,1.4,0.18,29,23,0,3,5,5.9,0.7,1,66,"2025-02-01 02:00",,0.3,14,16,1,120.97236752,24.8056356,24
新竹,新竹市,43,,良好,1.1,0.17,29,24,0,2,5,5.5,0.3,0.7,67,"2025-02-01 03:00",,0.2,11,11,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.1,0.16,28,25,0,5,3,3.8,0.5,0.8,74,"2025-02-01 04:00",,0.2,9,8,1,120.97236752,24.8056356,24
新竹,新竹市,30,,良好,1.2,0.17,22,24,1,3,5,5.1,0.5,0.7,25,"2025-02-01 06:00",,0.2,8,6,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1.4,0.17,24,24,1,4,4,4.4,0.3,0.5,58,"2025-02-01 05:00",,0.2,8,6,1,120.97236752,24.8056356,24
新竹,新竹市,28,,良好,1.2,0.21,18,25,3,2,6,6.8,0.4,0.3,122,"2025-02-01 07:00",,0.1,7,6,1,120.97236752,24.8056356,24
新竹,新竹市,26,,良好,1.5,0.32,13,24,2,3,11,13.6,2.2,1.3,294,"2025-02-01 08:00",,0.1,6,5,1,120.97236752,24.8056356,24
新竹,新竹市,25,,良好,1.6,0.27,19,23,11,11,10,13,3.2,0.3,285,"2025-02-01 09:00",,0.2,6,5,1,120.97236752,24.8056356,24
新竹,新竹市,26,,良好,1.6,0.29,19,22,14,9,12,15.1,3.6,0.3,103,"2025-02-01 10:00",,0.2,6,6,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1.9,0.41,18,20,17,12,14,19.2,4.8,0.3,51,"2025-02-01 11:00",,0.2,7,8,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.9,0.34,28,20,16,16,11,16.1,4.6,1.9,285,"2025-02-01 12:00",,0.2,9,10,1,120.97236752,24.8056356,24
新竹,新竹市,42,,良好,2,0.27,34,21,21,18,8,10.4,2.3,1.7,290,"2025-02-01 13:00",,0.2,10,12,1,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,2.1,0.31,40,24,22,22,8,10.4,1.8,1.7,40,"2025-02-01 14:00",,0.3,13,14,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,2.4,0.24,44,27,21,16,7,8.1,1.3,3.4,31,"2025-02-01 15:00",,0.3,14,15,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,2,0.23,43,31,21,13,6,7.4,1,2.9,35,"2025-02-01 16:00",,0.2,14,16,1,120.97236752,24.8056356,24
新竹,新竹市,56,細懸浮微粒,普通,1.4,0.21,41,33,19,17,6,6.9,0.7,3.1,46,"2025-02-01 17:00",,0.2,14,17,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,1.6,0.28,38,36,28,14,7,7.4,0.4,3.5,32,"2025-02-01 18:00",,0.2,14,19,1,120.97236752,24.8056356,24
新竹,新竹市,56,細懸浮微粒,普通,1.4,0.34,35,38,26,15,7,7.2,0.6,4.6,34,"2025-02-01 19:00",,0.2,14,20,1,120.97236752,24.8056356,24
新竹,新竹市,59,細懸浮微粒,普通,1.3,0.31,38,39,8,18,5,5.8,0.4,2.6,60,"2025-02-01 20:00",,0.2,16,19,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,1.2,0.3,35,39,12,5,7,7.6,0.5,3.2,35,"2025-02-01 21:00",,0.2,14,18,1,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,1.5,0.27,35,39,14,7,6,6.4,0.5,4.1,30,"2025-02-01 22:00",,0.2,13,16,1,120.97236752,24.8056356,24
新竹,新竹市,47,,良好,1.5,0.26,35,38,8,8,5,5.4,0.4,3.4,35,"2025-02-01 23:00",,0.2,12,14,1,120.97236752,24.8056356,24
新竹,新竹市,41,,良好,1.5,0.23,35,37,4,8,5,5.5,0.4,2.7,51,"2025-02-02 00:00",,0.2,10,13,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,1.8,0.22,35,36,7,5,5,5.3,0.4,3.3,25,"2025-02-02 01:00",,0.2,10,12,1,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,0.8,0.2,35,35,9,5,5,5,0.2,2.4,50,"2025-02-02 02:00",,0.2,9,10,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,0.8,0.21,32,35,9,7,5,5.5,0.2,1,35,"2025-02-02 03:00",,0.2,8,10,1,120.97236752,24.8056356,24
新竹,新竹市,31,,良好,1,0.21,31,34,5,6,7,6.9,0.3,2.3,34,"2025-02-02 04:00",,0.2,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,31,,良好,1.2,0.18,40,35,6,8,4,3.9,0.4,3.2,33,"2025-02-02 05:00",,0.2,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,32,,良好,0.9,0.18,40,35,8,7,3,3.2,0.1,3.6,27,"2025-02-02 06:00",,0.2,8,8,1,120.97236752,24.8056356,24
新竹,新竹市,32,,良好,0.9,0.18,40,36,8,6,3,3.2,0.1,3.6,30,"2025-02-02 07:00",,0.2,7,7,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1,0.2,39,36,16,9,4,3.7,0.2,3,34,"2025-02-02 08:00",,0.1,7,9,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1.3,0.22,37,37,14,5,5,4.9,0.2,3,32,"2025-02-02 09:00",,0.1,7,10,1,120.97236752,24.8056356,24
新竹,新竹市,33,,良好,1.1,0.22,37,37,16,1,5,5.2,0.4,3,32,"2025-02-02 10:00",,0.2,6,11,1,120.97236752,24.8056356,24
新竹,新竹市,34,,良好,1.5,0.23,37,38,16,5,6,6,0.4,2.9,42,"2025-02-02 11:00",,0.2,6,12,1,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,1.2,0.24,36,38,14,12,6,6.4,0.6,2.7,50,"2025-02-02 12:00",,0.2,6,12,1,120.97236752,24.8056356,24
新竹,新竹市,34,,良好,1.1,0.23,37,38,16,12,5,6.2,0.8,2,32,"2025-02-02 13:00",,0.2,7,13,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,1.1,0.24,38,38,13,13,6,6,0.5,2.6,34,"2025-02-02 14:00",,0.2,9,13,1,120.97236752,24.8056356,24
新竹,新竹市,41,,良好,1.3,0.25,37,37,20,12,6,6.5,0.4,3.5,33,"2025-02-02 15:00",,0.2,10,14,1,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.1,0.25,38,37,15,10,6,6.6,0.5,3.5,33,"2025-02-02 16:00",,0.2,10,14,1,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.1,0.25,38,37,19,11,6,6.1,0.3,3.1,37,"2025-02-02 17:00",,0.2,10,15,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1,0.26,37,37,16,7,6,6.5,0.2,2.4,42,"2025-02-02 18:00",,0.2,9,16,1,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,1.1,0.28,35,37,14,8,8,8.3,0.4,2.1,62,"2025-02-02 19:00",,0.2,9,15,1,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,1.1,0.27,36,37,16,12,7,7.4,0.3,2.8,37,"2025-02-02 20:00",,0.2,9,16,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,1.2,0.28,35,37,17,10,7,7.7,0.3,2.3,40,"2025-02-02 21:00",,0.2,9,15,1,120.97236752,24.8056356,24
新竹,新竹市,40,,良好,1.4,0.28,37,37,8,9,6,6.5,0.1,2.7,29,"2025-02-02 22:00",,0.2,10,14,1,120.97236752,24.8056356,24
新竹,新竹市,43,,良好,1.2,0.26,37,37,12,12,6,5.9,0,1.9,28,"2025-02-02 23:00",,0.2,11,14,1,120.97236752,24.8056356,24
新竹,新竹市,42,,良好,1.3,0.24,36,36,12,11,6,6,0.2,3.2,31,"2025-02-03 00:00",,0.2,10,13,1,120.97236752,24.8056356,24
新竹,新竹市,41,,良好,1.2,0.23,41,37,8,8,4,4.1,0.1,3.1,28,"2025-02-03 01:00",,0.2,10,12,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,2.2,0.24,43,38,4,6,3,4.1,0.7,3.2,28,"2025-02-03 02:00",,0.2,9,11,1,120.97236752,24.8056356,24
新竹,新竹市,35,,良好,2.3,0.24,43,38,2,5,3,3.9,0.6,3.3,24,"2025-02-03 03:00",,0.2,8,9,1,120.97236752,24.8056356,24
新竹,新竹市,36,,良好,2.3,0.23,43,39,6,7,3,4.1,0.7,3.6,31,"2025-02-03 04:00",,0.2,8,8,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,2.3,0.23,44,42,5,7,4,4.4,0.5,3.8,39,"2025-02-03 07:00",,0.2,8,6,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,2.7,0.23,41,43,10,10,4,5.3,0.7,3.2,35,"2025-02-03 08:00",,0.2,8,7,1,120.97236752,24.8056356,24
新竹,新竹市,39,,良好,3,0.26,39,43,6,9,5,6.2,0.8,3.1,32,"2025-02-03 09:00",,0.2,8,6,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,3.1,0.3,36,42,15,11,7,7.6,0.7,4.4,27,"2025-02-03 10:00",,0.2,9,8,1,120.97236752,24.8056356,24
新竹,新竹市,42,,良好,3.4,0.32,34,41,19,18,8,8.6,0.9,3.2,30,"2025-02-03 11:00",,0.2,10,10,1,120.97236752,24.8056356,24
新竹,新竹市,44,,良好,3.3,0.32,34,39,13,14,8,9.2,1.2,4.2,30,"2025-02-03 12:00",,0.2,11,10,1,120.97236752,24.8056356,24
新竹,新竹市,45,,良好,3.4,0.32,34,38,9,10,7,8.3,1,4,32,"2025-02-03 13:00",,0.2,11,11,1,120.97236752,24.8056356,24
新竹,新竹市,46,,良好,3.6,0.33,34,37,18,12,7,7.5,0.8,4.4,29,"2025-02-03 14:00",,0.2,12,12,2,120.97236752,24.8056356,24
新竹,新竹市,47,,良好,3.4,0.36,34,36,16,15,7,7.9,0.9,3.9,31,"2025-02-03 15:00",,0.3,12,12,2,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,3.5,0.36,39,36,23,20,7,7.7,0.9,4.3,25,"2025-02-03 16:00",,0.3,13,14,2,120.97236752,24.8056356,24
新竹,新竹市,49,,良好,3.5,0.37,41,36,18,5,7,8.3,0.8,4.1,36,"2025-02-03 17:00",,0.3,12,15,2,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,3.5,0.43,41,37,20,22,7,7.9,0.9,3.5,30,"2025-02-03 18:00",,0.3,14,16,2,120.97236752,24.8056356,24
新竹,新竹市,60,細懸浮微粒,普通,3.5,0.45,39,37,28,24,8,9.3,0.7,3.8,28,"2025-02-03 19:00",,0.3,16,19,2,120.97236752,24.8056356,24
新竹,新竹市,65,細懸浮微粒,普通,3.5,0.42,39,38,28,27,8,9,0.7,3.6,39,"2025-02-03 20:00",,0.3,18,20,2,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,3.6,0.42,40,38,29,21,8,8.2,0.7,3.8,27,"2025-02-03 21:00",,0.3,20,22,2,120.97236752,24.8056356,24
新竹,新竹市,73,細懸浮微粒,普通,3.6,0.43,39,39,24,23,8,8.8,0.7,3.6,27,"2025-02-03 22:00",,0.4,21,23,2,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,3.6,0.4,40,40,24,20,7,7.3,0.6,4.3,32,"2025-02-03 23:00",,0.4,20,23,2,120.97236752,24.8056356,24
新竹,新竹市,70,細懸浮微粒,普通,3.5,0.31,41,40,25,20,5,5.8,0.8,3,36,"2025-02-04 00:00",,0.4,20,23,3,120.97236752,24.8056356,24
新竹,新竹市,71,細懸浮微粒,普通,3.4,0.27,42,40,28,19,5,5.4,0.6,4.2,29,"2025-02-04 01:00",,0.3,20,24,3,120.97236752,24.8056356,24
新竹,新竹市,71,細懸浮微粒,普通,1.8,0.26,43,40,30,21,5,5.1,0.4,4.1,32,"2025-02-04 02:00",,0.3,20,25,3,120.97236752,24.8056356,24
新竹,新竹市,71,細懸浮微粒,普通,1.7,0.26,44,41,28,19,4,4.4,0.5,3,37,"2025-02-04 03:00",,0.3,20,26,3,120.97236752,24.8056356,24
新竹,新竹市,69,細懸浮微粒,普通,1.9,0.25,43,41,25,15,4,4.2,0.4,4.1,43,"2025-02-04 04:00",,0.3,19,26,3,120.97236752,24.8056356,24
新竹,新竹市,69,細懸浮微粒,普通,1.9,0.25,42,42,30,16,4,5,0.4,3.9,42,"2025-02-04 05:00",,0.3,19,27,3,120.97236752,24.8056356,24
新竹,新竹市,68,細懸浮微粒,普通,1.9,0.27,40,42,24,18,6,5.8,0.3,3.9,48,"2025-02-04 06:00",,0.2,19,26,3,120.97236752,24.8056356,24
新竹,新竹市,66,細懸浮微粒,普通,2,0.29,38,42,32,17,6,6.9,0.3,2.8,43,"2025-02-04 07:00",,0.2,18,27,3,120.97236752,24.8056356,24
新竹,新竹市,69,細懸浮微粒,普通,2.1,0.35,36,41,37,23,9,10.1,0.7,3.8,45,"2025-02-04 08:00",,0.2,19,29,2,120.97236752,24.8056356,24
新竹,新竹市,77,細懸浮微粒,普通,2,0.39,37,40,50,36,10,11.9,1.5,4,52,"2025-02-04 09:00",,0.2,22,32,2,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,1.8,0.37,39,40,50,29,10,12.2,2.3,4,40,"2025-02-04 10:00",,0.3,24,37,2,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,1.6,0.36,42,40,42,28,9,11.6,2.3,4,41,"2025-02-04 11:00",,0.3,25,39,2,120.97236752,24.8056356,24
新竹,新竹市,37,,良好,2.4,0.23,43,40,5,5,3,4,0.5,1.8,33,"2025-02-03 05:00",,0.2,7,7,1,120.97236752,24.8056356,24
新竹,新竹市,38,,良好,2.4,0.23,44,41,6,8,4,4.4,0.7,2.5,37,"2025-02-03 06:00",,0.2,7,6,1,120.97236752,24.8056356,24
新竹,新竹市,89,細懸浮微粒,普通,0.9,0.34,45,40,43,28,9,10.8,2.1,5.4,30,"2025-02-04 12:00",,0.3,26,40,2,120.97236752,24.8056356,24
新竹,新竹市,85,細懸浮微粒,普通,0.4,0.3,48,41,48,23,6,7.4,1.3,4.7,36,"2025-02-04 13:00",,0.3,25,41,2,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,0.3,0.31,49,42,46,29,6,7.1,1.2,4.2,31,"2025-02-04 14:00",,0.3,25,41,2,120.97236752,24.8056356,24
新竹,新竹市,85,細懸浮微粒,普通,0.7,0.31,50,43,47,24,6,7.1,1.1,5.1,29,"2025-02-04 15:00",,0.3,25,42,2,120.97236752,24.8056356,24
新竹,新竹市,86,細懸浮微粒,普通,0.3,0.33,49,45,63,28,6,7.1,0.8,4,34,"2025-02-04 16:00",,0.3,25,46,2,120.97236752,24.8056356,24
新竹,新竹市,91,細懸浮微粒,普通,0.2,0.36,48,46,47,32,8,8.4,0.9,4,36,"2025-02-04 17:00",,0.3,27,47,2,120.97236752,24.8056356,24
新竹,新竹市,94,細懸浮微粒,普通,0.6,0.38,45,47,46,32,9,9.7,0.5,3.6,41,"2025-02-04 18:00",,0.3,28,48,1,120.97236752,24.8056356,24
新竹,新竹市,98,細懸浮微粒,普通,0.8,0.4,44,47,46,31,10,10.4,0.5,3.4,60,"2025-02-04 19:00",,0.3,30,48,1,120.97236752,24.8056356,24
新竹,新竹市,99,細懸浮微粒,普通,1.3,0.39,42,47,42,30,11,11.6,0.5,2.8,42,"2025-02-04 20:00",,0.3,30,46,1,120.97236752,24.8056356,24
新竹,新竹市,98,細懸浮微粒,普通,1.7,0.4,40,46,41,30,12,12.8,0.4,3.1,50,"2025-02-04 21:00",,0.3,30,45,1,120.97236752,24.8056356,24
新竹,新竹市,93,細懸浮微粒,普通,2.1,0.33,43,45,34,21,11,11.5,0.4,2.8,55,"2025-02-04 22:00",,0.3,28,43,1,120.97236752,24.8056356,24
新竹,新竹市,88,細懸浮微粒,普通,1.7,0.29,44,44,24,19,8,8.9,0.3,2.5,37,"2025-02-04 23:00",,0.3,26,39,1,120.97236752,24.8056356,24
新竹,新竹市,84,細懸浮微粒,普通,1.4,0.29,43,44,21,20,8,8.2,0.3,2.5,43,"2025-02-05 00:00",,0.3,24,36,1,120.97236752,24.8056356,24
新竹,新竹市,76,細懸浮微粒,普通,2,0.27,43,43,24,14,6,6.3,0.5,2.3,42,"2025-02-05 02:00",,0.3,22,31,1,120.97236752,24.8056356,24
新竹,新竹市,81,細懸浮微粒,普通,1.5,0.28,44,43,26,,7,7,0.4,2.1,48,"2025-02-05 01:00",,0.3,23,33,1,120.97236752,24.8056356,24
新竹,新竹市,74,細懸浮微粒,普通,1.8,0.25,42,42,23,20,6,7.2,0.7,1.6,48,"2025-02-05 04:00",,0.2,21,28,1,120.97236752,24.8056356,24
新竹,新竹市,75,細懸浮微粒,普通,1.8,0.26,42,42,23,18,6,7,0.6,1.9,43,"2025-02-05 03:00",,0.3,21,29,1,120.97236752,24.8056356,24
新竹,新竹市,73,細懸浮微粒,普通,2,0.25,41,42,22,21,6,7.1,0.5,1.6,52,"2025-02-05 05:00",,0.2,21,27,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,2.2,0.27,38,42,29,15,8,7.9,0.4,1.4,44,"2025-02-05 06:00",,0.2,20,26,1,120.97236752,24.8056356,24
新竹,新竹市,72,細懸浮微粒,普通,2.2,0.29,34,41,27,21,12,12.5,0.6,1.9,53,"2025-02-05 07:00",,0.2,20,26,1,120.97236752,24.8056356,24
新竹,新竹市,70,細懸浮微粒,普通,2.2,0.36,31,39,30,19,15,17,1.5,1.4,49,"2025-02-05 08:00",,0.2,19,27,1,120.97236752,24.8056356,24
新竹,新竹市,68,細懸浮微粒,普通,2.1,0.43,31,38,33,19,17,20.1,2.7,2.1,43,"2025-02-05 09:00",,0.2,19,28,1,120.97236752,24.8056356,24
新竹,新竹市,66,細懸浮微粒,普通,2.1,0.33,36,37,26,13,13,16.1,2.8,2.9,45,"2025-02-05 10:00",,0.3,18,27,1,120.97236752,24.8056356,24
新竹,新竹市,62,細懸浮微粒,普通,1.6,0.31,39,36,26,11,11,12.9,2.3,1.9,61,"2025-02-05 11:00",,0.3,16,27,1,120.97236752,24.8056356,24
新竹,新竹市,58,細懸浮微粒,普通,0.9,0.29,42,36,21,11,10,11.5,2,1.7,33,"2025-02-05 12:00",,0.3,15,26,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,0.6,0.27,46,37,22,11,10,11.6,2.1,1.8,35,"2025-02-05 13:00",,0.3,14,24,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,0.4,0.27,48,38,24,14,9,10.4,1.6,1.8,40,"2025-02-05 14:00",,0.3,14,24,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,0.5,0.28,46,40,22,10,10,11.2,1.3,1.9,44,"2025-02-05 15:00",,0.3,13,23,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,0.6,0.28,40,41,22,12,11,12.9,1.4,2,47,"2025-02-05 16:00",,0.3,13,23,1,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,0.4,0.32,33,41,23,11,15,16.2,1.3,1.7,46,"2025-02-05 17:00",,0.2,13,24,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,0.3,0.39,26,40,30,18,20,21.1,1.3,1.8,45,"2025-02-05 18:00",,0.3,13,24,1,120.97236752,24.8056356,24
新竹,新竹市,55,細懸浮微粒,普通,0.3,0.43,22,38,29,15,21,22.1,1,1.3,45,"2025-02-05 19:00",,0.3,14,25,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,0.5,0.42,22,36,24,12,20,20.8,0.9,1.1,36,"2025-02-05 20:00",,0.3,14,25,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,0.8,0.47,16,32,26,14,24,24.6,1.1,1,46,"2025-02-05 21:00",,0.3,14,25,1,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,1,0.4,21,28,22,13,21,22.2,1.1,1.1,73,"2025-02-05 22:00",,0.3,13,24,1,120.97236752,24.8056356,24
新竹,新竹市,51,細懸浮微粒,普通,0.5,0.38,23,26,17,11,16,16.4,0.8,0.6,37,"2025-02-05 23:00",,0.3,12,22,1,120.97236752,24.8056356,24
新竹,新竹市,52,細懸浮微粒,普通,0.7,0.35,21,23,16,13,15,16,0.5,0.4,53,"2025-02-06 00:00",,0.3,13,21,1,120.97236752,24.8056356,24
新竹,新竹市,56,細懸浮微粒,普通,0.8,0.3,23,22,,22,13,13.6,0.6,0.8,45,"2025-02-06 01:00",,0.3,14,20,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,1.7,0.26,26,22,21,9,9,9.5,0.4,0.7,46,"2025-02-06 02:00",,0.3,14,20,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,1.5,0.27,24,22,9,10,10,10.9,0.4,0.4,21,"2025-02-06 03:00",,0.3,13,18,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,1.4,0.25,27,23,14,11,8,8.8,0.4,0.8,48,"2025-02-06 04:00",,0.3,13,17,1,120.97236752,24.8056356,24
新竹,新竹市,54,細懸浮微粒,普通,1.4,0.25,27,24,24,23,9,9.2,0.3,0.9,47,"2025-02-06 05:00",,0.3,14,19,1,120.97236752,24.8056356,24
新竹,新竹市,53,細懸浮微粒,普通,1.4,0.25,26,25,12,8,8,8.3,0.3,0.3,68,"2025-02-06 06:00",,0.2,13,17,1,120.97236752,24.8056356,24
